0.0105,0.768,0.0158
0.011,0.802,0.0145
0.0114,0.785,0.0127
0.0118,0.796,0.0113
0.0123,0.791,0.0101
0.0128,0.806,0.0091
0.0133,0.801,0.0081
0.0139,0.807,0.00736
0.0144,0.801,0.00664
0.015,0.785,0.00588
0.0156,0.791,0.00541
0.0162,0.779,0.00494
0.0169,0.763,0.00449
0.0175,0.624,0.00534
0.0182,0.257,0.00329
0.019,0.111,0.00155
0.0197,0.0685,0.00103
0.0205,0.047,0.000765
0.0213,0.0343,0.000596
0.0222,0.0266,0.00048
0.0231,0.0202,0.000391
0.024,0.0148,0.000307
0.0249,0.0123,0.00026
0.0259,0.00942,0.00021
0.027,0.00744,0.000175
0.028,0.00557,0.000141
0.0292,0.00453,0.000119
0.0303,0.00356,9.89e-05
0.0315,0.00287,8.35e-05
0.0328,0.00203,6.59e-05
0.0341,0.00149,5.36e-05
0.0355,0.00102,3.38e-05
0.0369,0.000758,2.73e-05
0.0384,0.000571,2.24e-05
0.0399,0.000439,1.86e-05
0.0415,0.000342,1.56e-05
0.0431,0.000316,1.44e-05
0.0449,0.000276,1.28e-05
0.0467,0.000286,1.23e-05
0.0485,0.0003,1.2e-05
0.0505,0.0003,1.15e-05
0.0525,0.000328,1.16e-05
0.0546,0.000322,1.09e-05
0.0567,0.000332,1.07e-05
0.059,0.000326,1.01e-05
0.0614,0.000328,9.86e-06
0.0638,0.000323,9.47e-06
0.0664,0.000317,9.06e-06
0.069,0.000316,8.78e-06
0.0718,0.0003,8.26e-06
0.0746,0.0003,8.04e-06
0.0776,0.000289,7.61e-06
0.0807,0.000278,7.21e-06
0.0839,0.000262,6.71e-06
0.0873,0.000242,6.16e-06
0.0908,0.000223,5.64e-06
0.0944,0.000203,5.13e-06
0.0982,0.000171,4.45e-06
0.102,0.000151,3.97e-06
0.106,0.000124,3.38e-06
0.11,0.000102,2.9e-06
0.115,8.04e-05,2.44e-06
0.119,6.2e-05,2.04e-06
0.124,4.55e-05,1.68e-06
0.129,3.41e-05,1.39e-06
0.134,2.41e-05,1.11e-06
0.14,1.73e-05,8.99e-07
0.145,1.26e-05,7.4e-07
0.151,9.21e-06,6.15e-07
0.157,7.05e-06,5.25e-07
0.163,4.8e-06,4.24e-07
0.17,4.97e-06,4.27e-07
0.177,5.26e-06,4.42e-07
0.184,5.01e-06,4.3e-07
0.191,4.28e-06,4e-07
0.199,4.32e-06,4.1e-07
0.207,3.63e-06,3.96e-07
0.215,2.74e-06,3.69e-07
0.223,3.1e-06,4.2e-07
0.232,3.46e-06,4.83e-07
0.242,1.86e-06,3.77e-07
0.251,2.33e-06,4.54e-07
0.261,2.05e-06,4.51e-07
0.272,2.6e-06,5.4e-07
0.283,3.15e-06,6.32e-07
0.294,1.89e-06,5.03e-07
